id;dayNumber;dayName;monthNumber;monthName;year;date;createdAt;updatedAt
20210701;1;Thursday;7;July;2021;2021-07-01;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210702;2;Friday;7;July;2021;2021-07-02;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210703;3;Saturday;7;July;2021;2021-07-03;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210704;4;Sunday;7;July;2021;2021-07-04;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210705;5;Monday;7;July;2021;2021-07-05;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210706;6;Tuesday;7;July;2021;2021-07-06;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210707;7;Wednesday;7;July;2021;2021-07-07;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210708;8;Thursday;7;July;2021;2021-07-08;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210709;9;Friday;7;July;2021;2021-07-09;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210710;10;Saturday;7;July;2021;2021-07-10;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210711;11;Sunday;7;July;2021;2021-07-11;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210712;12;Monday;7;July;2021;2021-07-12;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210713;13;Tuesday;7;July;2021;2021-07-13;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210714;14;Wednesday;7;July;2021;2021-07-14;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210715;15;Thursday;7;July;2021;2021-07-15;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210716;16;Friday;7;July;2021;2021-07-16;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210717;17;Saturday;7;July;2021;2021-07-17;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210718;18;Sunday;7;July;2021;2021-07-18;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210719;19;Monday;7;July;2021;2021-07-19;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210720;20;Tuesday;7;July;2021;2021-07-20;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210721;21;Wednesday;7;July;2021;2021-07-21;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210722;22;Thursday;7;July;2021;2021-07-22;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210723;23;Friday;7;July;2021;2021-07-23;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210724;24;Saturday;7;July;2021;2021-07-24;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210725;25;Sunday;7;July;2021;2021-07-25;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210726;26;Monday;7;July;2021;2021-07-26;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210727;27;Tuesday;7;July;2021;2021-07-27;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210728;28;Wednesday;7;July;2021;2021-07-28;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210729;29;Thursday;7;July;2021;2021-07-29;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210730;30;Friday;7;July;2021;2021-07-30;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210731;31;Saturday;7;July;2021;2021-07-31;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210801;1;Sunday;8;August;2021;2021-08-01;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210802;2;Monday;8;August;2021;2021-08-02;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210803;3;Tuesday;8;August;2021;2021-08-03;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210804;4;Wednesday;8;August;2021;2021-08-04;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210805;5;Thursday;8;August;2021;2021-08-05;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210806;6;Friday;8;August;2021;2021-08-06;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210807;7;Saturday;8;August;2021;2021-08-07;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210808;8;Sunday;8;August;2021;2021-08-08;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210809;9;Monday;8;August;2021;2021-08-09;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210810;10;Tuesday;8;August;2021;2021-08-10;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210811;11;Wednesday;8;August;2021;2021-08-11;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210812;12;Thursday;8;August;2021;2021-08-12;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210813;13;Friday;8;August;2021;2021-08-13;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210814;14;Saturday;8;August;2021;2021-08-14;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210815;15;Sunday;8;August;2021;2021-08-15;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210816;16;Monday;8;August;2021;2021-08-16;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210817;17;Tuesday;8;August;2021;2021-08-17;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210818;18;Wednesday;8;August;2021;2021-08-18;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210819;19;Thursday;8;August;2021;2021-08-19;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
20210820;20;Friday;8;August;2021;2021-08-20;2022-02-02 20:24:50.427+01;2022-02-02 20:24:50.427+01
